84 1703,1421,2107,1485
85 1530,1420,1696,1484
86 1350,1420,1523,1483
87 1171,1419,1344,1483
88 976,1419,1164,1482
89 553,1418,969,1482
90 279,1418,546,1481
91 2965,1355,3325,1418
92 2633,1354,2958,1417
93 2113,1352,2626,1416
94 1703,1351,2107,1415
95 1530,1351,1696,1414
96 1350,1350,1523,1413
97 1171,1350,1344,1413
98 976,1349,1164,1412
99 553,1349,969,1412
100 279,1348,546,1411
101 2965,1285,3324,1349
102 2633,1284,2958,1347
103 2113,1282,2626,1347
104 1703,1281,2107,1346
105 1530,1281,1696,1344
106 1350,1281,1523,1344
107 1171,1280,1344,1343
108 976,1280,1164,1343
109 553,1279,969,1342
110 279,1278,546,1342
111 2965,1216,3324,1279
112 2633,1215,2958,1278
113 2113,1213,2626,1277
114 1703,1213,2107,1276
115 1530,1212,1696,1275
116 1351,1212,1523,1274
117 1171,1211,1344,1274
118 976,1211,1164,1274
119 553,1210,969,1273
120 279,1209,546,1272
121 2965,1147,3324,1211
122 2633,1146,2958,1209
123 2113,1144,2626,1208
124 1703,1143,2107,1207
125 1530,1143,1697,1206
126 1351,1143,1523,1205
127 1171,1142,1344,1205
128 976,1142,1164,1204
129 553,1141,969,1204
130 279,1140,546,1203
131 2965,1078,3324,1141
132 2633,1077,2958,1140
133 2113,1075,2626,1139
134 1703,1074,2107,1138
135 1530,1074,1697,1137
136 1351,1073,1523,1136
137 1171,1073,1344,1135
138 976,1073,1164,1135
139 553,1071,969,1134
140 279,1071,546,1133
141 2965,1010,3324,1072
142 2633,1009,2958,1071
143 2113,1007,2626,1070
144 1703,1006,2107,1069
145 1530,1005,1697,1067
146 1351,1005,1523,1067
147 1171,1005,1344,1066
148 976,1004,1164,1066
149 553,1003,969,1065
150 279,1003,546,1064
151 2965,940,3324,1004
152 2633,939,2958,1002
153 2113,937,2626,1002
154 1703,937,2107,1001
155 1530,936,1696,999
156 1351,936,1523,999
157 1171,935,1344,998
158 976,935,1164,998
159 553,934,969,997
160 279,933,546,996
161 2965,871,3324,934
162 2633,870,2958,933
163 2113,868,2626,932
164 1703,868,2107,931
165 1530,867,1696,930
166 1350,867,1523,929
167 1171,867,1344,929
168 976,866,1164,928
169 553,865,969,928
170 279,865,546,927
171 2965,803,3323,865
172 2633,802,2958,864
173 2113,800,2626,863
174 1703,799,2107,862
175 1530,799,1696,861
176 1350,799,1523,860
177 1171,798,1343,860
178 976,798,1164,859
179 553,797,969,859
180 278,797,546,858
181 2965,734,3323,797
182 2632,733,2958,795
183 2113,732,2626,795
184 1703,731,2107,794
185 1530,731,1696,792
186 1350,730,1523,792
187 1171,730,1343,792
188 976,730,1164,791
189 553,729,969,791
190 278,729,546,790
191 2964,664,3323,728
192 2632,664,2958,727
193 2113,662,2626,726
194 1703,662,2106,725
195 1529,661,1696,724
196 1350,661,1523,724
197 1170,661,1343,723
198 976,661,1164,723
199 553,660,969,723
200 278,659,546,722
201 2964,596,3323,659
202 2632,595,2957,657
203 2113,593,2626,657
204 1703,593,2106,656
205 1529,593,1696,655
206 1350,592,1523,654
207 1170,592,1343,654
208 976,592,1164,654
209 553,591,969,653
210 278,591,546,653
211 2964,525,3323,590
212 2632,525,2957,588
213 2113,524,2626,588
214 1703,524,2107,587
215 1529,523,1696,586
216 1350,523,1523,586
217 1170,523,1343,585
218 976,523,1164,585
219 553,522,969,585
220 278,522,546,584
221 2964,456,3323,520
222 2633,455,2958,519
223 1529,454,1696,517
224 1350,454,1523,516
225 1170,454,1343,516
226 976,454,1164,516
227 2633,388,3323,451
228 2113,387,2626,518
229 1703,386,2107,518
230 1350,386,1696,448
231 976,386,1344,447
232 553,385,969,515
233 278,385,546,515
234 20,24,36,2512
